objectid,plazacode,plazaname,concessionairetype,plazatype,city,state,concessionairename,longitude,latitude
1661,349008,Pachira,PF,National,Surajpur,Chhattisgarh,NHAI,23.195053,82.925264
1662,312028,Peont,PF,National,Karnal,Haryana,NHAI,29.623442,76.784786
1663,320080,Sarsawa Toll Plaza,PF,National,Sarsawa,Uttar Pradesh,MBL (GSY) Road Ltd.,30.04077778,77.3875
1664,352043,Yerradoddi Toll Plaza,PF,National,Anantpur,Andhra Pradesh,NHAI,14.168016,78.134528
1665,352044,Jellipalli Toll Plaza,PF,National,Anantpur,Andhra Pradesh,NHAI,14.168867,78.144507
1666,336021,Nageshri Toll Plaza,PF,National,Nageshri,Gujarat,NHAI,20.9166056,71.3220944
1667,370016,Ghogarkuthi Fee Toll Plaza,PF,National,Baxirhat,West Bengal,NHAI,26.30493889,89.61888889
1668,370018,Satbhaiya Fee Toll Plaza,PF,National,Naxalbari,West Bengal,NHAI,26.687394,88.2310881
1669,330108,Hingonia Toll Plaza,PF,National,Jaipur,Rajasthan,NHAI,26.8509,75.9247
1670,330109,Sitarampura Toll Plaza,PF,National,Jaipur,Rajasthan,NHAI,26.7473,75.7686
1671,330031,Lal ka Khera,PF,National,Jahazpur,Rajasthan,NHAI,25.482404,75.31341
1672,352045,Bandapalli,PF,National,Rayachoti,Andhra Pradesh,NHAI,14.131169,78.75682
1673,545019,Eklehra Toll Plaza,Conc,State,Narmadapuram,Madhya Pradesh,Betul-Sarni Tollways,22.192429,78.689015
1674,378009,Patgaon Toll Plaza,PF,National,Kokrajhar,Assam,NHAI,26.567821,90.218439
1675,380025,Pokhraira Fee Plaza,PF,National,Sitamarhi,Bihar,NHAI,26.0558561,85.1829012
1676,367004,Poonarimangalam,PF,National,Ernakulam (Cochin),Kerala,NHAI,10.010715,76.257992
1677,378008,Raha,PF,National,Guwahati,Assam,NHAI,26.245792,92.54147
1678,320095,Ramnagar Gansiyari,PF,National,Allahabad,Uttar Pradesh,NHAI,25.726413,81.92581
1679,312032,Jaloli Fee Plaza,PF,National,Jaloli,Haryana,NHAI,30.5859671,76.9452524
1680,349010,Kumhari,PF,National,Kumhari,Chhattisgarh,NHAI,21.2525171,81.5368479
1681,345060,Ujara,PF,National,Ujara,Madhya Pradesh,NHAI,25.0854986,79.7085139
